Date,Event
25/5/2002,Final Exams
26/5/2002,Final Exams
27/5/2002,Final Exams
28/5/2002,Final Exams
29/5/2002,Final Exams
30/5/2002,Final Exams
31/5/2002,Final Exams
1/6/2002,Final Exams
2/6/2002,Final Exams
3/6/2002,Final Exams
4/6/2002,Final Exams
5/6/2002,Final Exams
6/6/2002,Final Exams
14/6/2003,Final Exams
15/6/2003,Final Exams
16/6/2003,Final Exams
17/6/2003,Final Exams
18/6/2003,Final Exams
19/6/2003,Final Exams
20/6/2003,Final Exams
21/6/2003,Final Exams
22/6/2003,Final Exams
23/6/2003,Final Exams
24/6/2003,Final Exams
25/6/2003,Final Exams
26/6/2003,Final Exams
29/5/2004,Final Exams
30/5/2004,Final Exams
31/5/2004,Final Exams
1/6/2004,Final Exams
2/6/2004,Final Exams
3/6/2004,Final Exams
4/6/2004,Final Exams
5/6/2004,Final Exams
6/6/2004,Final Exams
7/6/2004,Final Exams
8/6/2004,Final Exams
9/6/2004,Final Exams
10/6/2004,Final Exams
4/6/2005,Final Exams
5/6/2005,Final Exams
6/6/2005,Final Exams
7/6/2005,Final Exams
8/6/2005,Final Exams
9/6/2005,Final Exams
10/6/2005,Final Exams
11/6/2005,Final Exams
12/6/2005,Final Exams
13/6/2005,Final Exams
14/6/2005,Final Exams
15/6/2005,Final Exams
16/6/2005,Final Exams
27/5/2006,Final Exams
28/5/2006,Final Exams
29/5/2006,Final Exams
30/5/2006,Final Exams
31/5/2006,Final Exams
1/6/2006,Final Exams
2/6/2006,Final Exams
3/6/2006,Final Exams
4/6/2006,Final Exams
5/6/2006,Final Exams
6/6/2006,Final Exams
7/6/2006,Final Exams
8/6/2006,Final Exams
9/6/2007,Final Exams
10/6/2007,Final Exams
11/6/2007,Final Exams
12/6/2007,Final Exams
13/6/2007,Final Exams
14/6/2007,Final Exams
15/6/2007,Final Exams
16/6/2007,Final Exams
17/6/2007,Final Exams
18/6/2007,Final Exams
19/6/2007,Final Exams
20/6/2007,Final Exams
21/6/2007,Final Exams
14/6/2008,Final Exams
15/6/2008,Final Exams
16/6/2008,Final Exams
17/6/2008,Final Exams
18/6/2008,Final Exams
19/6/2008,Final Exams
20/6/2008,Final Exams
21/6/2008,Final Exams
22/6/2008,Final Exams
23/6/2008,Final Exams
24/6/2008,Final Exams
25/6/2008,Final Exams
26/6/2008,Final Exams
20/6/2009,Final Exams
21/6/2009,Final Exams
22/6/2009,Final Exams
23/6/2009,Final Exams
24/6/2009,Final Exams
25/6/2009,Final Exams
26/6/2009,Final Exams
27/6/2009,Final Exams
28/6/2009,Final Exams
29/6/2009,Final Exams
30/6/2009,Final Exams
1/7/2009,Final Exams
2/7/2009,Final Exams
19/6/2010,Final Exams
20/6/2010,Final Exams
21/6/2010,Final Exams
22/6/2010,Final Exams
23/6/2010,Final Exams
24/6/2010,Final Exams
25/6/2010,Final Exams
26/6/2010,Final Exams
27/6/2010,Final Exams
28/6/2010,Final Exams
29/6/2010,Final Exams
30/6/2010,Final Exams
1/7/2010,Final Exams
11/6/2011,Final Exams
12/6/2011,Final Exams
13/6/2011,Final Exams
14/6/2011,Final Exams
15/6/2011,Final Exams
16/6/2011,Final Exams
17/6/2011,Final Exams
18/6/2011,Final Exams
19/6/2011,Final Exams
20/6/2011,Final Exams
21/6/2011,Final Exams
22/6/2011,Final Exams
23/6/2011,Final Exams
26/5/2012,Final Exams
27/5/2012,Final Exams
28/5/2012,Final Exams
29/5/2012,Final Exams
30/5/2012,Final Exams
31/5/2012,Final Exams
1/6/2012,Final Exams
2/6/2012,Final Exams
3/6/2012,Final Exams
4/6/2012,Final Exams
5/6/2012,Final Exams
6/6/2012,Final Exams
7/6/2012,Final Exams
25/5/2013,Final Exams
26/5/2013,Final Exams
27/5/2013,Final Exams
28/5/2013,Final Exams
29/5/2013,Final Exams
30/5/2013,Final Exams
31/5/2013,Final Exams
1/6/2013,Final Exams
2/6/2013,Final Exams
3/6/2013,Final Exams
4/6/2013,Final Exams
5/6/2013,Final Exams
6/6/2013,Final Exams
25/5/2014,Final Exams
26/5/2014,Final Exams
27/5/2014,Final Exams
28/5/2014,Final Exams
29/5/2014,Final Exams
30/5/2014,Final Exams
31/5/2014,Final Exams
1/6/2014,Final Exams
2/6/2014,Final Exams
3/6/2014,Final Exams
4/6/2014,Final Exams
5/6/2014,Final Exams
6/6/2014,Final Exams
24/5/2015,Final Exams
25/5/2015,Final Exams
26/5/2015,Final Exams
27/5/2015,Final Exams
28/5/2015,Final Exams
29/5/2015,Final Exams
30/5/2015,Final Exams
31/5/2015,Final Exams
1/6/2015,Final Exams
2/6/2015,Final Exams
3/6/2015,Final Exams
4/6/2015,Final Exams
5/6/2015,Final Exams
15/5/2016,Final Exams
16/5/2016,Final Exams
17/5/2016,Final Exams
18/5/2016,Final Exams
19/5/2016,Final Exams
20/5/2016,Final Exams
21/5/2016,Final Exams
22/5/2016,Final Exams
23/5/2016,Final Exams
24/5/2016,Final Exams
25/5/2016,Final Exams
26/5/2016,Final Exams
27/5/2016,Final Exams
14/5/2017,Final Exams
15/5/2017,Final Exams
16/5/2017,Final Exams
17/5/2017,Final Exams
18/5/2017,Final Exams
19/5/2017,Final Exams
20/5/2017,Final Exams
21/5/2017,Final Exams
22/5/2017,Final Exams
23/5/2017,Final Exams
24/5/2017,Final Exams
25/5/2017,Final Exams
26/5/2017,Final Exams
6/5/2018,Final Exams
7/5/2018,Final Exams
8/5/2018,Final Exams
9/5/2018,Final Exams
10/5/2018,Final Exams
11/5/2018,Final Exams
12/5/2018,Final Exams
13/5/2018,Final Exams
14/5/2018,Final Exams
15/5/2018,Final Exams
16/5/2018,Final Exams
17/5/2018,Final Exams
18/5/2018,Final Exams
21/4/2019,Final Exams
22/4/2019,Final Exams
23/4/2019,Final Exams
24/4/2019,Final Exams
25/4/2019,Final Exams
26/4/2019,Final Exams
27/4/2019,Final Exams
28/4/2019,Final Exams
29/4/2019,Final Exams
30/4/2019,Final Exams
1/5/2019,Final Exams
2/5/2019,Final Exams
3/5/2019,Final Exams
3/5/2020,Final Exams
4/5/2020,Final Exams
5/5/2020,Final Exams
