No.,Unit weight,Cohesion,Friction angle,Angle of slope,Height of slope,Pore water pressure,Safety factor,Safety factor classification,Stability,Reference,Reference
1,18.68,26.34,15,35,8.23,0,1.11,0,F,Sah et al.,1994
2,16.5,11.49,0,30,3.66,0,1,0,F,Sah et al.,1994
3,18.84,14.36,25,20,30.5,0,1.88,1,S,Sah et al.,1994
4,28.44,29.42,35,35,100,0,1.78,1,S,Sah et al.,1994
5,28.44,39.23,38,35,100,0,1.99,1,S,Sah et al.,1994
6,20.6,16.28,27,30,40,0,1.25,0,F,Sah et al.,1994
7,14.8,0,17,20,50,0,1.13,0,F,Sah et al.,1994
8,14,11.97,26,30,88,0,1.02,0,F,Sah et al.,1994
9,18.5,25,0,30,6,0,1.09,0,F,Sah et al.,1994
10,18.5,12,0,30,6,0,0.78,0,F,Sah et al.,1994
11,22.4,10,35,30,10,0,2,1,S,Sah et al.,1994
12,21.4,10,30.34,30,20,0,1.7,1,S,Sah et al.,1994
13,22,20,36,45,50,0,1.02,0,F,Sah et al.,1994
14,22,0,36,45,50,0,0.89,0,F,Sah et al.,1994
15,12,0,30,35,4,0,1.46,0,F,Sah et al.,1994
16,12,0,30,45,8,0,0.8,0,F,Sah et al.,1994
17,12,0,30,35,4,0,1.44,0,F,Sah et al.,1994
18,12,0,30,45,8,0,0.86,0,F,Sah et al.,1994
19,23.47,0,32,37,214,0,1.08,0,F,Sah et al.,1994
20,20.41,24.9,13,22,10.67,0.35,1.4,0,F,Sah et al.,1994
21,19.63,11.97,20,22,12.19,0.41,1.35,0,F,Sah et al.,1994
22,21.82,8.62,32,28,12.8,0.49,1.03,0,F,Sah et al.,1994
23,20.41,33.52,11,16,45.72,0.2,1.28,0,F,Sah et al.,1994
24,18.84,15.32,30,25,10.67,0.38,1.63,1,S,Sah et al.,1994
25,18.84,0,20,20,7.62,0.45,1.05,0,F,Sah et al.,1994
26,21.43,0,20,20,61,0.5,1.03,0,F,Sah et al.,1994
27,19.06,11.71,28,35,21,0.11,1.09,0,F,Sah et al.,1994
28,18.84,14.36,25,20,30.5,0.45,1.11,0,F,Sah et al.,1994
29,21.51,6.94,30,31,76.81,0.38,1.01,0,F,Sah et al.,1994
30,14,11.97,26,30,88,0.45,0.63,0,F,Sah et al.,1994
31,18,24,30,45,20,0.12,1.12,0,F,Sah et al.,1994
32,23,0,20,20,100,0.3,1.2,0,F,Sah et al.,1994
33,22.4,10,35,45,10,0.4,0.9,0,F,Sah et al.,1994
34,20,20,36,45,50,0.25,0.96,0,F,Sah et al.,1994
35,20,20,36,45,50,0.5,0.83,0,F,Sah et al.,1994
36,20,0,36,45,50,0.25,0.79,0,F,Sah et al.,1994
37,20,0,36,45,50,0.5,0.67,0,F,Sah et al.,1994
38,22,0,40,33,8,0.35,1.45,0,F,Sah et al.,1994
39,24,0,40,33,8,0.3,1.58,1,S,Sah et al.,1994
40,20,0,25,20,28,0.35,1.37,0,F,Sah et al.,1994
41,18,5,30,20,8,0.3,2.05,1,S,Sah et al.,1994
42,18.84,57.46,20,20,30.5,0,2.045,1,S,Sah et al.,1994
43,25,120,45,53,120,0,1.3,0,F,Sah et al.,1994
44,26,150.05,45,50,200,0,1.2,0,F,Sah et al.,1994
45,16,70,20,40,115,0,1.11,0,F,Sah et al.,1994
46,22.4,100,45,45,15,0.25,1.8,1,S,Sah et al.,1994
47,27.3,14,31,41,110,0.25,1.25,0,F,Zhou and  Chen,2009
48,27.3,31.5,30,41,135,0.25,1.25,0,F,Zhou and  Chen,2009
49,27.3,16.8,28,50,90.5,0.25,1.25,0,F,Zhou and  Chen,2009
50,27.3,26,31,50,92,0.25,1.25,0,F,Zhou and  Chen,2009
51,22.4,10,35,30,10,0.25,2,1,S,Zhou and  Chen,2009
52,21.4,10,30,30,20,0.25,1.7,1,S,Zhou and  Chen,2009
53,22,0,36,45,50,0.25,0.89,0,F,Zhou and  Chen,2009
54,18.66,8.8,15,35,8.2,0,1.11,0,F,Dong and  Li,2012
55,28.4,9.8,35,35,100,0,1.78,1,S,Dong and  Li,2012
56,25.96,50,45,50,200,0,1.2,0,F,Dong and  Li,2012
57,18.46,8.35,0,30,6,0,1.09,0,F,Dong and  Li,2012
58,21.36,3.35,30,30,20,0,1.7,1,S,Dong and  Li,2012
59,15.99,23.35,20,40,115,0,1.11,0,F,Dong and  Li,2012
60,20.39,8.3,13,22,10.6,0.35,1.4,0,F,Dong and  Li,2012
61,19.6,4,20,22,12.2,0.41,1.35,0,F,Dong and  Li,2012
62,20.39,11.15,11,16,45.8,0.2,1.28,0,F,Dong and  Li,2012
63,19.03,3.9,28,35,21,0.11,1.09,0,F,Dong and  Li,2012
64,17.98,1.65,30,20,8,0.3,2.05,1,S,Dong and  Li,2012
65,20.96,6.65,40,40,12,0,1.84,1,S,Dong and  Li,2012
66,20.96,11.65,28,40,12,0.5,1.43,0,F,Dong and  Li,2012
67,19.97,3.35,29,34,6,0.3,1.34,0,F,Dong and  Li,2012
68,18.77,10,10,25,50,0.1,1.4,0,F,Dong and  Li,2012
69,18.77,10,20,30,50,0.1,1.46,0,F,Dong and  Li,2012
70,18.77,8.35,20,30,50,0.2,1.21,0,F,Dong and  Li,2012
71,20.56,5.4,27,30,40,0,1.25,0,F,Dong and  Li,2012
72,16.47,3.85,0,30,3.6,0,1,0,F,Dong and  Li,2012
73,18.8,4.8,25,20,30.6,0,1.88,1,S,Dong and  Li,2012
74,18.8,19.15,20,20,30.6,0,2.04,1,S,Dong and  Li,2012
75,28.4,13.05,38,35,100,0,1.99,1,S,Dong and  Li,2012
76,24.96,40,45,53,120,0,1.3,0,F,Dong and  Li,2012
77,18.46,4,0,30,6,0,0.78,0,F,Dong and  Li,2012
78,22.38,3.35,35,30,10,0,2,1,S,Dong and  Li,2012
79,21.98,6.65,36,45,50,0,1.02,0,F,Dong and  Li,2012
80,18.8,5.1,30,25,10.6,0.38,1.63,1,S,Dong and  Li,2012
81,18.8,4.8,25,20,30.6,0.45,1.11,0,F,Dong and  Li,2012
82,21.47,2.3,30,31,76.8,0.38,1.01,0,F,Dong and  Li,2012
83,13.97,4,26,30,88,0.45,0.63,0,F,Dong and  Li,2012
84,17.98,8,30,45,20,0.12,1.12,0,F,Dong and  Li,2012
85,22.38,33.3,45,45,15,0.25,1.8,1,S,Dong and  Li,2012
86,22.38,3.35,35,45,10,0.4,0.9,0,F,Dong and  Li,2012
87,19.97,6.65,36,45,50,0.25,0.96,0,F,Dong and  Li,2012
88,19.97,6.65,36,45,50,0.5,0.83,0,F,Dong and  Li,2012
89,20.96,15,25,49,12,0.3,1.53,1,S,Dong and  Li,2012
90,20.96,10,35,40,12,0.4,1.49,0,F,Dong and  Li,2012
91,19.97,13.35,30,30,15,0.3,1.84,1,S,Dong and  Li,2012
92,17.98,15,25,25,14,0.3,2.09,1,S,Dong and  Li,2012
93,18.97,10,35,35,11,0.2,2,1,S,Dong and  Li,2012
94,19.97,13.35,40,40,10,0.2,2.31,1,S,Dong and  Li,2012
95,18.83,8.25,21,29,37,0.5,1.07,0,F,Dong and  Li,2012
96,18.83,3.45,21,34,37,0.3,1.29,0,F,Dong and  Li,2012
97,18.77,8.35,10,25,50,0.2,1.18,0,F,Dong and  Li,2012
98,18.77,6.65,10,25,50,0.3,0.97,0,F,Dong and  Li,2012
99,19.08,3.35,10,25,50,0.4,0.65,0,F,Dong and  Li,2012
100,18.77,6.65,20,30,50,0.3,1,0,F,Dong and  Li,2012
101,19.08,3.35,20,30,50,0.4,0.65,0,F,Dong and  Li,2012
102,21.98,6.65,22,20,180,0,1.12,0,F,Dong and  Li,2012
103,21.98,6.65,22,20,180,0.1,0.99,0,F,Dong and  Li,2012
104,21,20,40,40,12,0,1.84,1,S,Hoek and Bray,1981
105,21,45,25,49,12,0.3,1.53,1,S,Hoek and Bray,1981
106,21,30,35,40,12,0.4,1.49,0,F,Hoek and Bray,1981
107,21,35,28,40,12,0.5,1.43,0,F,Hoek and Bray,1981
108,20,10,29,34,6,0.3,1.34,0,F,Hoek and Bray,1981
109,20,40,30,30,15,0.3,1.84,1,S,Hoek and Bray,1981
110,18,45,25,25,14,0.3,2.09,1,S,Hoek and Bray,1981
111,19,30,35,35,11,0.2,2,1,S,Hoek and Bray,1981
112,20,40,40,40,10,0.2,2.31,1,S,Hoek and Bray,1981
113,18.85,24.8,21.3,29.2,37,0.5,1.07,0,F,Hudson,1992
114,18.85,10.34,21.3,34,37,0.3,1.29,0,F,Hudson,1992
115,18.8,30,10,25,50,0.1,1.4,0,F,Lin et al,1998
116,18.8,25,10,25,50,0.2,1.18,0,F,Lin et al,1998
117,18.8,20,10,25,50,0.3,0.97,0,F,Lin et al,1998
118,19.1,10,10,25,50,0.4,0.65,0,F,Lin et al,1998
119,18.8,30,20,30,50,0.1,1.46,0,F,Lin et al,1998
120,18.8,25,20,30,50,0.2,1.21,0,F,Lin et al,1998
121,18.8,20,20,30,50,0.3,1,0,F,Lin et al,1998
122,19.1,10,20,30,50,0.4,0.65,0,F,Lin et al,1998
123,22,20,22,20,180,0,1.12,0,F,Madzic,1988
124,22,20,22,20,180,0.1,0.99,0,F,Madzic,1988
125,20.6,16.28,26.5,30,40,0,1.25,0,F,Sakellariou and  Ferentinou,2005
126,22,20,36,45,50,0,1.02,0,F,Sakellariou and  Ferentinou,2005
127,20.41,24.9,13,22,10.67,0.35,1.4,0,F,Sakellariou and  Ferentinou,2005
128,18,5,30,20,8,0.3,2.05,1,S,Sakellariou and  Ferentinou,2005
129,14.8,0,17,20,50,0,1.13,0,F,Sakellariou and  Ferentinou,2005
130,18.84,0,20,20,7.62,0.45,1.05,0,F,Sakellariou and  Ferentinou,2005
131,23,0,20,20,100,0.3,1.2,0,F,Sakellariou and  Ferentinou,2005
132,20,0,24.5,20,8,0.35,1.37,0,F,Sakellariou and  Ferentinou,2005
133,20,10,29,34,6,0.3,1.34,0,F,Sakellariou and  Ferentinou,2005
134,22,0,40,33,8,0.35,1.45,0,F,Sakellariou and  Ferentinou,2005
135,24,0,40,33,8,0.3,1.58,1,S,Sakellariou and  Ferentinou,2005
136,20,0,24.5,20,8,0.35,1.37,0,F,Sakellariou and  Ferentinou,2005
137,18,5,30,20,8,0.3,2.05,1,S,Sakellariou and  Ferentinou,2005
138,27,40,35,43,420,0.25,1.15,0,F,Zhou and  Chen,2009
139,27,50,40,42,407,0.25,1.44,0,F,Zhou and  Chen,2009
140,27,35,35,42,359,0.25,1.27,0,F,Zhou and  Chen,2009
141,27,37.5,35,37.8,320,0.25,1.24,0,F,Zhou and  Chen,2009
142,27,32,33,42.6,301,0.25,1.16,0,F,Zhou and  Chen,2009
143,27,32,33,42.4,289,0.25,1.3,0,F,Zhou and  Chen,2009
144,27.3,10,39,41,511,0.25,1.434,0,F,Zhou and  Chen,2009
145,27.3,10,39,40,470,0.25,1.418,0,F,Zhou and  Chen,2009
146,25,46,35,47,443,0.25,1.28,0,F,Zhou and  Chen,2009
147,25,46,35,44,435,0.25,1.37,0,F,Zhou and  Chen,2009
