Unit weight,Cohesion,Friction angle,Angle of slope,Height of slope,Pore water pressure,Safety factor,lin reg,poly_reg,rf,DST,SVR,knn,DL
18.68,26.34,15.0,35.0,8.23,0.0,1.11,1.159916186171053,1.1248267824018356,1.1100000000000052,1.11,1.1688669300820786,1.11,1.1243777
16.5,11.49,0.0,30.0,3.66,0.0,1.0,0.900644491229989,0.9225235159775602,1.0,1.0,0.9981922324445525,1.0,1.0057578
18.84,14.36,25.0,20.0,30.5,0.0,1.88,1.5818473608647512,1.8339126575355689,1.8799999999999966,1.88,1.818924174139222,1.88,1.8301336
28.44,29.42,35.0,35.0,100.0,0.0,1.78,1.6636239919635016,1.6735687137559974,1.779999999999994,1.78,1.8025120906951682,1.78,1.7052348
28.44,39.23,38.0,35.0,100.0,0.0,1.99,1.7298507889506483,1.8022404389514193,1.990000000000005,1.99,1.9287585399447227,1.99,2.0096302
20.6,16.28,27.0,30.0,40.0,0.0,1.25,1.481862370548814,1.502704136041757,1.25,1.25,1.3820098292519714,1.25,1.2490928
14.8,0.0,17.0,20.0,50.0,0.0,1.13,1.3252019129302024,1.067856326299378,1.0972631578947383,1.08,1.4772436270668639,1.6691519647944482,1.581977
14.0,11.97,26.0,30.0,88.0,0.0,1.02,1.301590421721172,1.179270974062658,1.0200000000000027,1.08,1.0988166264526498,1.02,1.0873967
18.5,25.0,0.0,30.0,6.0,0.0,1.09,0.9455078610007971,1.0482471305739827,1.0900000000000027,1.09,1.0286794063069624,1.09,1.0607182
18.5,12.0,0.0,30.0,6.0,0.0,0.78,0.9358376824637599,0.9839240549005708,0.8305789473684223,0.78,0.9041406230952914,0.818542886487021,0.96496344
22.4,10.0,35.0,30.0,10.0,0.0,2.0,1.6901779012156806,2.007335548648238,1.9984210526315789,2.0,2.0595462871044767,1.9940249922886173,2.1804779
21.4,10.0,30.34,30.0,20.0,0.0,1.7,1.5727068175978927,1.6955909077645055,1.699999999999994,1.7,1.6293268990919987,1.7,1.6792632
22.0,20.0,36.0,45.0,50.0,0.0,1.02,1.4309210766196827,1.2335861748815746,1.0200000000000027,0.9766666666666667,1.071246812223342,1.02,0.99426925
