iter	Passed	Remaining
0	167	167477
1	184	91949
2	198	66104
3	215	53664
4	233	46411
5	249	41311
6	265	37692
7	280	34806
8	297	32798
9	314	31157
10	330	29719
11	348	28653
12	365	27727
13	382	26920
14	398	26172
15	415	25556
16	430	24896
17	445	24304
18	461	23851
19	478	23447
20	496	23165
21	512	22787
22	531	22558
23	546	22243
24	565	22041
25	583	21841
26	600	21656
27	619	21493
28	636	21310
29	655	21182
30	671	21003
31	689	20854
32	706	20701
33	724	20575
34	740	20420
35	756	20265
36	773	20120
37	790	20005
38	806	19884
39	823	19758
40	839	19645
41	856	19529
42	873	19433
43	889	19316
44	906	19247
45	923	19152
46	940	19071
47	956	18969
48	973	18896
49	989	18800
50	1007	18740
51	1023	18661
52	1041	18605
53	1058	18547
54	1075	18478
55	1093	18431
56	1110	18375
57	1127	18318
58	1144	18258
59	1161	18203
60	1179	18161
61	1197	18118
62	1216	18092
63	1234	18057
64	1252	18016
65	1269	17960
66	1285	17902
67	1302	17848
68	1320	17810
69	1338	17778
70	1355	17733
71	1373	17700
72	1391	17673
73	1410	17648
74	1427	17608
75	1443	17552
76	1461	17516
77	1479	17491
78	1496	17441
79	1513	17401
80	1531	17370
81	1547	17327
82	1565	17294
83	1594	17383
84	1613	17364
85	1630	17330
86	1647	17292
87	1664	17248
88	1682	17218
89	1699	17179
90	1716	17150
91	1734	17122
92	1751	17085
93	1768	17049
94	1786	17018
95	1803	16983
96	1821	16958
97	1838	16923
98	1855	16888
99	1873	16864
100	1891	16834
101	1907	16796
102	1923	16755
103	1941	16725
104	1957	16685
105	1974	16656
106	1992	16627
107	2009	16597
108	2026	16564
109	2044	16541
110	2061	16508
111	2080	16496
112	2097	16464
113	2116	16447
114	2133	16415
115	2149	16384
116	2167	16358
117	2184	16330
118	2201	16301
119	2219	16276
120	2237	16251
121	2255	16232
122	2274	16213
123	2291	16187
124	2308	16158
125	2324	16124
126	2341	16092
127	2358	16065
128	2377	16049
129	2393	16017
130	2411	15997
131	2428	15969
132	2447	15953
133	2467	15947
134	2485	15928
135	2502	15901
136	2520	15875
137	2538	15854
138	2556	15835
139	2574	15814
140	2593	15799
141	2611	15778
142	2628	15753
143	2646	15730
144	2662	15702
145	2680	15679
146	2697	15651
147	2715	15629
148	2730	15597
149	2748	15572
150	2765	15548
151	2782	15525
152	2799	15498
153	2816	15474
154	2833	15446
155	2849	15417
156	2865	15384
157	2881	15358
158	2896	15318
159	2913	15297
160	2928	15263
161	2946	15242
162	2963	15215
163	2980	15191
164	2997	15170
165	3015	15147
166	3031	15121
167	3049	15101
168	3067	15085
169	3086	15068
170	3103	15045
171	3119	15015
172	3135	14990
173	3152	14963
174	3170	14944
175	3187	14922
176	3203	14897
177	3220	14872
178	3236	14846
179	3252	14817
180	3268	14790
181	3286	14770
182	3303	14750
183	3320	14726
184	3338	14706
185	3357	14693
186	3374	14671
187	3391	14648
188	3408	14625
189	3426	14609
190	3443	14587
191	3460	14562
192	3480	14552
193	3498	14532
194	3517	14520
195	3536	14504
196	3554	14486
197	3569	14457
198	3587	14438
199	3603	14415
200	3621	14396
201	3638	14373
202	3655	14353
203	3673	14335
204	3690	14313
205	3708	14292
206	3724	14269
207	3743	14254
208	3760	14233
209	3779	14217
210	3796	14196
211	3814	14177
212	3832	14159
213	3851	14144
214	3867	14121
215	3885	14102
216	3902	14082
217	3919	14060
218	3937	14042
219	3953	14015
220	3969	13992
221	3985	13967
222	4003	13948
223	4020	13928
224	4037	13906
225	4053	13882
226	4071	13863
227	4088	13844
228	4109	13835
229	4134	13841
230	4164	13861
231	4187	13861
232	4206	13845
233	4223	13825
234	4240	13804
235	4257	13782
236	4273	13757
237	4290	13736
238	4309	13721
239	4327	13704
240	4344	13683
241	4362	13663
242	4383	13654
243	4402	13640
244	4426	13641
245	4447	13631
246	4466	13616
247	4485	13599
248	4503	13582
249	4519	13559
250	4538	13543
251	4556	13524
252	4573	13503
253	4591	13483
254	4609	13466
255	4627	13447
256	4643	13423
257	4659	13401
258	4676	13380
259	4692	13356
260	4710	13336
261	4726	13314
262	4743	13292
263	4759	13268
264	4772	13236
265	4790	13217
266	4808	13199
267	4824	13178
268	4843	13160
269	4860	13141
270	4879	13125
271	4897	13107
272	4915	13089
273	4933	13073
274	4952	13055
275	4968	13034
276	4986	13016
277	5005	13000
278	5019	12970
279	5037	12953
280	5056	12938
281	5074	12919
282	5092	12902
283	5110	12883
284	5128	12865
285	5145	12846
286	5163	12828
287	5181	12810
288	5199	12791
289	5218	12775
290	5236	12759
291	5254	12741
292	5272	12721
293	5289	12702
294	5307	12683
295	5325	12667
296	5343	12647
297	5362	12632
298	5376	12605
299	5396	12591
300	5414	12572
301	5433	12557
302	5452	12541
303	5470	12523
304	5489	12508
305	5514	12507
306	5531	12485
307	5547	12464
308	5566	12448
309	5584	12429
310	5601	12409
311	5619	12390
312	5636	12371
313	5654	12354
314	5673	12338
315	5692	12322
316	5709	12301
317	5726	12282
318	5746	12266
319	5763	12248
320	5780	12228
321	5797	12208
322	5816	12191
323	5835	12175
324	5852	12155
325	5870	12137
326	5887	12117
327	5904	12097
328	5923	12081
329	5941	12063
330	5959	12045
331	5978	12029
332	5997	12012
333	6016	11996
334	6033	11977
335	6052	11961
336	6070	11943
337	6090	11928
338	6110	11913
339	6129	11897
340	6148	11881
341	6166	11865
342	6183	11844
343	6202	11827
344	6220	11809
345	6237	11790
346	6254	11770
347	6273	11753
348	6292	11736
349	6310	11719
350	6327	11699
351	6345	11681
352	6363	11664
353	6382	11646
354	6400	11629
355	6417	11610
356	6436	11592
357	6454	11574
358	6470	11553
359	6493	11543
360	6515	11532
361	6543	11531
362	6570	11530
363	6590	11515
364	6607	11495
365	6626	11478
366	6644	11459
367	6661	11440
368	6677	11419
369	6695	11400
370	6713	11382
371	6731	11363
372	6749	11346
373	6766	11326
374	6783	11306
375	6801	11287
376	6820	11271
377	6838	11253
378	6857	11235
379	6874	11215
380	6892	11198
381	6912	11182
382	6925	11157
383	6942	11137
384	6959	11117
385	6977	11099
386	6995	11081
387	7013	11061
388	7029	11041
389	7046	11022
390	7064	11002
391	7079	10981
392	7097	10961
393	7114	10942
394	7132	10924
395	7149	10904
396	7166	10884
397	7182	10864
398	7199	10843
399	7215	10823
400	7232	10803
