Year,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Actual
2011,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2248
2012,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2450
2013,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2662
2014,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2573
2015,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2873
2016,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2891
2017,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2852
2018,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2771
2019,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,2792
2020,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,3051
2021,Non-Coincident Peak Load MW,Electrical Grid,COA,Qassim,3000
