Date,Time,Datetime,System_City_Actual,Operating_Area,System_City
1-Jun-16,0:00,01JUN16:00:00,30,COA,Qassim
2-Jun-16,0:00,02JUN16:00:00,28,COA,Qassim
3-Jun-16,0:00,03JUN16:00:00,31.8,COA,Qassim
4-Jun-16,0:00,04JUN16:00:00,31.2,COA,Qassim
5-Jun-16,0:00,05JUN16:00:00,31,COA,Qassim
6-Jun-16,0:00,06JUN16:00:00,30,COA,Qassim
7-Jun-16,0:00,07JUN16:00:00,33,COA,Qassim
8-Jun-16,0:00,08JUN16:00:00,31,COA,Qassim
9-Jun-16,0:00,09JUN16:00:00,35,COA,Qassim
10-Jun-16,0:00,10JUN16:00:00,33,COA,Qassim
11-Jun-16,0:00,11JUN16:00:00,33,COA,Qassim
12-Jun-16,0:00,12JUN16:00:00,36,COA,Qassim
13-Jun-16,0:00,13JUN16:00:00,35,COA,Qassim
14-Jun-16,0:00,14JUN16:00:00,30,COA,Qassim
15-Jun-16,0:00,15JUN16:00:00,32,COA,Qassim
16-Jun-16,0:00,16JUN16:00:00,34,COA,Qassim
17-Jun-16,0:00,17JUN16:00:00,32,COA,Qassim
18-Jun-16,0:00,18JUN16:00:00,31,COA,Qassim
19-Jun-16,0:00,19JUN16:00:00,31,COA,Qassim
20-Jun-16,0:00,20JUN16:00:00,35,COA,Qassim
21-Jun-16,0:00,21JUN16:00:00,34,COA,Qassim
22-Jun-16,0:00,22JUN16:00:00,31,COA,Qassim
23-Jun-16,0:00,23JUN16:00:00,33.3,COA,Qassim
24-Jun-16,0:00,24JUN16:00:00,33,COA,Qassim
25-Jun-16,0:00,25JUN16:00:00,35.2,COA,Qassim
26-Jun-16,0:00,26JUN16:00:00,34,COA,Qassim
27-Jun-16,0:00,27JUN16:00:00,36,COA,Qassim
28-Jun-16,0:00,28JUN16:00:00,37,COA,Qassim
29-Jun-16,0:00,29JUN16:00:00,34.5,COA,Qassim
30-Jun-16,0:00,30JUN16:00:00,35,COA,Qassim
1-Jul-16,0:00,01JUL16:00:00,35,COA,Qassim
2-Jul-16,0:00,02JUL16:00:00,35.5,COA,Qassim
3-Jul-16,0:00,03JUL16:00:00,34,COA,Qassim
4-Jul-16,0:00,04JUL16:00:00,32,COA,Qassim
5-Jul-16,0:00,05JUL16:00:00,32,COA,Qassim
6-Jul-16,0:00,06JUL16:00:00,30,COA,Qassim
7-Jul-16,0:00,07JUL16:00:00,34,COA,Qassim
