year,Total Non-Saudi Population,Total Saudi Population,Total Population,Oil_GDP,Non_Oil_GDP,Total_GDP,Riyadh,Makkah,Madinah,Qaseem,Eastern Region,Aseer,Tabouk,Hail,Northern Region,Jazan,Najran,Al-Baha,Al-Jouf,scenario
2000,5571093,14905300,20476393,,,,,,,,,,,,,,,,,
2001,5703704,15275721,20979425,,,,,,,,,,,,,,,,,
2002,5839481,15655332,21494813,,,,,,,,,,,,,,,,,
2003,5978502,16044362,22022864,,,,,,,,,,,,,,,,,
2004,6119899,16443987,22563886,,,,,,,,,,,,,,,,,
2005,6475427,16854157,23329584,,,,,,,,,,,,,,,,,
2006,6851709,17270181,24121890,,,,,,,,,,,,,,,,,
2007,7249962,17691336,24941298,,,,,,,,,,,,,,,,,
2008,7671475,18115550,25787025,1236965,688429,1925394,,,,,,,,,,,,,,
2009,8117611,18543246,26660857,1154473,731272,1885745,,,,,,,,,,,,,,
2010,8620174,18790334,27410508,1172450,808327,1980777,6816785,7014330,1803289,1222742,4147509,1940226,799316,610718,322042,1366761,505811,419073,441906,
2011,9162962,19010233,28173195,1303517,875276,2178792,7025998,7244429,1851962,1251946,4259631,1979618,815412,623709,328576,1395892,516942,427374,451706,
2012,9669194,19227646,28896840,1372719,923978,2296697,7223875,7462944,1898262,1279631,4365476,2017223,830784,636087,334820,1423851,527562,435308,461017,
2013,10170373,19442691,29613064,1370818,987872,2358690,7419519,7679828,1944171,1306957,4469805,2054465,845945,648346,341001,1451557,538073,443184,470213,
2014,10684403,19655392,30339795,1403651,1041190,2444841,7618398,7900474,1990715,1334617,4575649,2091979,861228,660711,347222,1479503,548687,451109,479503,
2015,11198094,19863975,31062069,1467402,1077834,2545236,7816322,8119835,2036933,1362085,4680984,2129136,876372,672961,353388,1507175,559210,458951,488717,
2016,11705998,20081582,31787580,1507207,1080535,2587742,8014678,8338321,2083326,1389929,4787375,2166983,891813,685423,359663,1535167,569875,466946,498081,
2017,12185270,20427576,32612846,1471056,1097537,2568592,8234302,8575578,2136553,1423130,4909385,2214736,911331,700865,367558,1569872,582927,477105,509504,
2018,12645033,20768627,33413660,1567674,1059996,2627670,8446866,8803545,2188138,1455693,5028753,2261618,930507,716021,375310,1603659,595705,487108,520737,
