Date,Year,Month,Day,maxTemp,minTemp,menTemp,CDD
2016-01-01,2016,1,1,20.0,14.0,15.571428571428571,-5.0
2016-01-02,2016,1,2,14.0,8.0,11.272727272727273,-11.0
2016-01-03,2016,1,3,14.0,6.0,10.0,-12.0
2016-01-04,2016,1,4,17.0,4.0,10.933333333333332,-11.5
2016-01-05,2016,1,5,22.0,8.4,15.117391304347825,-6.800000000000001
2016-01-06,2016,1,6,22.0,10.0,15.3125,-6.0
2016-01-07,2016,1,7,23.0,9.0,15.637500000000001,-6.0
2016-01-08,2016,1,8,27.0,14.0,19.791666666666668,-1.5
2016-01-09,2016,1,9,21.0,12.0,16.482608695652175,-5.5
2016-01-10,2016,1,10,20.0,9.0,14.091666666666667,-7.5
2016-01-11,2016,1,11,19.0,8.0,13.450000000000001,-8.5
2016-01-12,2016,1,12,22.0,10.0,14.966666666666667,-6.0
2016-01-13,2016,1,13,19.0,9.0,13.716666666666667,-8.0
2016-01-14,2016,1,14,24.0,7.0,15.708333333333334,-6.5
2016-01-15,2016,1,15,26.0,11.0,18.043478260869566,-3.5
2016-01-16,2016,1,16,22.4,14.0,17.452173913043477,-3.8000000000000007
2016-01-17,2016,1,17,24.0,12.0,17.745454545454546,-4.0
2016-01-18,2016,1,18,27.0,11.0,18.929166666666667,-3.0
2016-01-19,2016,1,19,23.3,15.0,18.3875,-2.8500000000000014
2016-01-20,2016,1,20,20.0,10.0,14.700000000000001,-7.0
2016-01-21,2016,1,21,23.2,10.0,16.316666666666666,-5.399999999999999
2016-01-22,2016,1,22,25.0,13.0,18.922727272727272,-3.0
2016-01-23,2016,1,23,27.4,16.0,20.891666666666666,-0.3000000000000007
2016-01-24,2016,1,24,22.2,15.0,18.425,-3.3999999999999986
2016-01-25,2016,1,25,19.0,9.0,14.530434782608696,-8.0
2016-01-26,2016,1,26,19.4,8.0,13.683333333333332,-8.3
2016-01-27,2016,1,27,17.0,8.0,12.0,-9.5
2016-01-28,2016,1,28,12.0,4.0,8.0,-14.0
2016-01-29,2016,1,29,10.0,2.0,5.5,-16.0
2016-01-30,2016,1,30,14.2,-1.0,6.8,-15.4
2016-01-31,2016,1,31,17.2,1.0,9.216666666666667,-12.9
2016-02-01,2016,2,1,20.0,4.0,12.083333333333334,-10.0
2016-02-02,2016,2,2,23.0,7.0,15.173913043478262,-7.0
2016-02-03,2016,2,3,20.0,11.0,14.609090909090908,-6.5
2016-02-04,2016,2,4,19.0,6.0,12.9,-9.5
2016-02-05,2016,2,5,23.0,6.0,14.173913043478262,-7.5
2016-02-06,2016,2,6,25.0,10.4,18.158333333333335,-4.300000000000001
2016-02-07,2016,2,7,23.0,13.0,18.06086956521739,-4.0
2016-02-08,2016,2,8,21.0,8.0,13.782608695652174,-7.5
2016-02-09,2016,2,9,20.0,8.0,14.016666666666666,-8.0
2016-02-10,2016,2,10,23.6,8.0,16.854545454545455,-6.199999999999999
2016-02-11,2016,2,11,18.0,11.0,14.273913043478261,-7.5
2016-02-12,2016,2,12,19.0,5.0,12.91304347826087,-10.0
2016-02-13,2016,2,13,21.0,6.0,13.666666666666666,-8.5
2016-02-14,2016,2,14,25.2,8.0,16.466666666666665,-5.399999999999999
2016-02-15,2016,2,15,27.0,8.0,16.88888888888889,-4.5
2016-02-16,2016,2,16,26.0,10.0,18.308695652173913,-4.0
2016-02-17,2016,2,17,24.0,10.0,17.270833333333332,-5.0
2016-02-18,2016,2,18,24.0,9.0,16.705000000000002,-5.5
2016-02-19,2016,2,19,28.0,9.0,18.40909090909091,-3.5
2016-02-20,2016,2,20,30.4,11.0,21.371428571428574,-1.3000000000000007
