Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
1-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,27
2-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,27.2
3-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30.4
4-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,29
5-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30
6-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
7-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32.4
8-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,31
9-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30.2
10-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
11-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
12-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,28
13-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
14-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
15-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
16-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.4
17-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
18-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,31
19-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30.4
20-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
21-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
22-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
23-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30
24-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,28
25-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,25
26-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,25
27-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,25.4
28-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,26
29-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,28.4
30-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,30.2
31-Jan-16,Max Temperature (Deg C),Weather,WOA,Makkah,29
1-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,30
2-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,27
3-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
4-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
5-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
6-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
7-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,30
8-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,29
9-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
10-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,28
11-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
12-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
13-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
14-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.4
15-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
16-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.4
17-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
18-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,36.2
19-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
20-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
21-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.2
22-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,31
23-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,31
24-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
25-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
26-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
27-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
28-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
29-Feb-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
1-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
2-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36.2
3-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
4-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
5-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
6-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
7-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
8-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.3
9-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36.2
10-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
11-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.4
12-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
13-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
14-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
15-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
16-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
17-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
18-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.2
19-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
20-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
21-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
22-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.2
23-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
24-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.4
25-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.4
26-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
27-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.4
28-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
29-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,34.2
30-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
31-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
1-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
2-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
3-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
4-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
5-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
6-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
7-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
8-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
9-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
10-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
11-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
12-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.4
13-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
14-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.1
15-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
16-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
